time; movement_id; state
0.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
17.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
20.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
22.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
39.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
42.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
44.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
61.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
64.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
66.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
83.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
86.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
88.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
102.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
105.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
107.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
123.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
126.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
128.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
142.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
145.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
147.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
164.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
167.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
169.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
182.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
185.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
187.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
203.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
206.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
208.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
221.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
224.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
226.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
243.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
246.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
248.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
260.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
263.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
265.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
281.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
284.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
286.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
296.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
299.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
301.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
318.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
321.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
323.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
335.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
338.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
340.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
355.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
358.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
360.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
370.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
373.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
375.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
391.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
394.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
396.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
408.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
411.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
413.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
427.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
430.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
432.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
441.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
444.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
446.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
461.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
464.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
466.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
475.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
478.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
480.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
494.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
497.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
499.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
505.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
508.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
510.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
524.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
527.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
529.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
535.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
538.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
540.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
553.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
556.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
558.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
562.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
565.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
567.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
578.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
581.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
583.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
588.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
591.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
593.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
605.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
608.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
610.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
614.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
617.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
619.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
630.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
633.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
635.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
640.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
643.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
645.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
654.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
657.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
659.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
663.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
666.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
668.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
678.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
681.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
683.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
688.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
691.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
693.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
701.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
704.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
706.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
710.0; intersection/0002/tls; rrrryyrrrrrrrrrryyrrrrrr
713.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
715.0; intersection/0002/tls; GGGGrrrrrrrrGGGGrrrrrrrr
725.0; intersection/0002/tls; yyyyrrrrrrrryyyyrrrrrrrr
728.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
730.0; intersection/0002/tls; rrrrrrrrrrGGrrrrrrrrrrGG
736.0; intersection/0002/tls; rrrrrrrrrryyrrrrrrrrrryy
739.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
741.0; intersection/0002/tls; rrrrrrGGGGrrrrrrrrGGGGrr
748.0; intersection/0002/tls; rrrrrryyyyrrrrrrrryyyyrr
751.0; intersection/0002/tls; rrrrrrrrrrrrrrrrrrrrrrrr
753.0; intersection/0002/tls; rrrrGGrrrrrrrrrrGGrrrrrr
